,time,education,difficulty
0,348.837,,
1,552.525,,
2,294.32099999999997,,
3,127.86200000000001,,
4,61.266000000000005,,
5,246.81799999999998,,
6,153.621,,
7,224.614,,
8,818.779,,
9,260.303,,
10,471.63,,
11,436.352,,
12,2865.531,,
13,156.88,,
14,184.398,,
15,559.766,,
16,650.555,,
17,457.468,,
18,161.97799999999998,,
19,985.306,,
20,501.366,,
21,533.319,,
22,723.552,,
23,,,
24,424.962,,
25,31.646,,
26,1152.735,,
27,879.68,,
28,550.5790000000001,,
29,1642.5620000000001,,
30,,,
31,1197.785,,
32,230.765,,
33,277.671,,
34,1356.213,,
35,1669.486,,
36,122.024,,
37,365.835,,
38,2165.987,,5.0
39,1437.36,,
40,1679.265,,5.0
41,,,
42,681.172,,
43,949.512,,
44,1438.059,,
45,419.61,,
46,673.5360000000001,,
47,624.86,,
48,388.62199999999996,,
49,1329.4260000000002,,
50,1117.465,,
51,839.538,,
52,505.019,,
53,661.997,,
54,1341.231,,
55,1568.9820000000002,,
56,882.808,,
57,2189.509,,
58,1211.885,,
59,440.26099999999997,,
60,709.203,,
61,939.936,,
62,982.46,,
63,1222.012,,
64,1121.37,,
65,1463.0629999999999,,
66,1338.565,,
67,384.713,,
68,495.534,,
69,1452.035,,
70,1040.178,,
71,2709.5759999999996,,
72,409.881,,
73,594.005,,
74,1100.8410000000001,,
75,125.846,,
76,2228.652,,
77,789.9580000000001,,
78,2393.966,,
79,2595.025,,
80,2183.36,,
81,754.45,,
82,1288.249,,
83,1468.185,,
84,983.309,,
85,2098.136,,
86,1615.372,,
87,2396.029,,
88,1074.859,,
89,5047.194,,
90,1426.7779999999998,,
91,3726.018,,
92,1192.107,,
93,978.665,,
94,,,
95,1909.911,,
96,2438.0679999999998,,
97,440.26099999999997,,
98,1321.245,,
99,3044.19,,
100,3237.7340000000004,,
101,1606.116,,
102,4876.764,,
103,4302.3640000000005,,
104,3284.2790000000005,,
105,8820.681999999999,,
106,,,
107,,,
108,,,
109,,,
110,396.911,,
111,146.179,,
112,176.704,,
113,56.387,,
114,91.973,,
115,30.188000000000002,,
116,31.581,,
117,222.952,,
118,225.769,,
119,250.218,,
120,534.72,,
121,381.523,,
122,629.651,,
123,373.116,,
124,165.41,,
125,250.605,,
126,226.94299999999998,,
127,1002.9,,
128,127.57799999999999,,
129,440.57,,
130,1586.835,,
131,624.734,,
132,835.205,,
133,3156.809,,
134,192.426,,
135,50.711999999999996,1.0,1.0
136,424.944,,
137,61.28,,
138,63.2,,
139,1189.411,,
140,483.219,,
141,273.717,,
142,138.689,,
143,335.445,,
144,360.715,,
145,902.47,,
146,18.201,,
147,162.246,,
148,631.899,,
149,1429.286,,
150,857.676,,
151,1693.027,,
152,125.863,,
153,104.572,,
154,109.15299999999999,,
155,170.861,,
156,286.857,,
157,167.895,,
158,137.187,,
159,394.972,,
160,213.52599999999998,,
161,84.603,,
162,233.457,,
163,294.76,,
164,382.41,,
165,557.386,,
166,1286.609,,
167,129.987,,
168,234.68400000000003,,
169,60.662,,
170,216.162,,
171,253.195,,
172,181.94099999999997,,
173,129.481,,
174,103.874,,
175,706.041,,
176,968.8689999999999,,
177,459.228,,
178,1496.918,,
179,568.129,,
180,2635.202,,
181,239.081,,
182,157.65,,
183,289.765,,
184,350.001,,
185,263.02299999999997,,
186,518.472,,
187,554.184,,
188,1328.418,,
189,2178.425,,
190,1836.59,,
191,402.731,,
192,883.0010000000001,,
193,663.699,,
194,2235.238,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,3580.7259999999997,,
206,2388.701,,
207,386.80300000000005,,
208,623.766,,
209,604.371,,
210,120.829,,
211,1551.914,,
212,2678.196,,
213,4727.83,,
214,5562.746,,
215,2200.313,,
216,1315.865,,
217,1287.256,,
218,,,
219,,,
220,27.103,2.0,1.0
221,80.57600000000001,3.0,2.0
222,119.225,2.0,2.0
223,33.586999999999996,2.0,1.0
224,173.905,2.0,2.0
225,19.541,2.0,1.0
226,114.01700000000001,2.0,2.0
227,215.908,3.0,3.0
228,368.18800000000005,3.0,2.0
229,214.428,2.0,2.0
230,263.592,3.0,2.0
231,359.92800000000005,3.0,2.0
232,730.189,2.0,2.0
233,351.215,2.0,3.0
234,216.85,2.0,2.0
235,262.473,3.0,2.0
236,361.224,3.0,3.0
237,356.36,2.0,2.0
238,325.522,3.0,2.0
239,429.056,,
240,438.80800000000005,3.0,2.0
241,501.371,3.0,2.0
242,509.043,,
243,3178.183,,
244,543.937,,
245,169.828,,
